#,ST,LL,PI,S,FA,M,A/B,Na/Al,Si/Al,UCS
129,S3,38,14.07,0,8,12,0.65,1.18,2.49,0.1103
130,S3,38,14.07,0,4,12,0.65,1.18,2.49,0
131,S3,38,14.07,0,20,12,0.85,1.55,2.49,0.2293
132,S3,38,14.07,0,16,12,0.85,1.55,2.49,0.2241
133,S3,38,14.07,0,12,12,0.85,1.55,2.49,0.1868
134,S3,38,14.07,0,8,12,0.85,1.55,2.49,0.1555
135,S3,38,14.07,0,4,12,0.85,1.55,2.49,0
136,S3,38,14.07,0,20,15,0.45,0.93,2.49,0.1954
137,S3,38,14.07,0,16,15,0.45,0.93,2.49,0.1232
138,S3,38,14.07,0,12,15,0.45,0.93,2.49,0.08
139,S3,38,14.07,0,8,15,0.45,0.93,2.49,0.039
140,S3,38,14.07,0,4,15,0.45,0.93,2.49,0
141,S3,38,14.07,0,20,15,0.65,1.34,2.49,0.1852
142,S3,38,14.07,0,16,15,0.65,1.34,2.49,0.1819
143,S3,37.7,14.07,0,12,14.5,0.65,1.34,2.49,0.18
144,S3,37.7,14.07,0,8,14.5,0.65,1.34,2.49,0.127
145,S3,37.7,14.07,0,4,14.5,0.65,1.34,2.49,0
146,S3,37.7,14.07,0,20,14.5,0.85,1.75,2.49,0.189
147,S3,37.7,14.07,0,16,14.5,0.85,1.75,2.49,0.17
148,S3,37.7,14.07,0,12,14.5,0.85,1.75,2.49,0.163
149,S3,37.7,14.07,0,8,14.5,0.85,1.75,2.49,0.12
150,S3,37.7,14.07,0,4,14.5,0.85,1.75,2.49,0
151,S3,37.7,14.07,8,12,12,0.65,0.49,2.12,5.855
152,S3,37.7,14.07,6,10,12,0.65,0.49,2.12,2.597
153,S3,37.7,14.07,5,7,12,0.65,0.49,2.12,0.12
154,S3,37.7,14.07,3,5,12,0.65,0.49,2.12,0.097
155,S3,37.7,14.07,2,2,12,0.65,0.49,2.12,0.053
156,S3,37.7,14.07,8,12,14.5,0.65,0.56,2.12,4.899
157,S3,37.7,14.07,6,10,14.5,0.65,0.56,2.12,3.41
158,S3,37.7,14.07,5,7,14.5,0.65,0.56,2.12,0.604
159,S3,37.7,14.07,3,5,14.5,0.65,0.56,2.12,0.096
160,S3,37.7,14.07,2,2,14.5,0.65,0.56,2.12,0.074
161,S3,37.7,14.07,12,8,12,0.65,0.76,1.92,7.346
162,S3,37.7,14.07,10,6,12,0.65,0.76,1.92,6.191
163,S3,37.7,14.07,7,5,12,0.65,0.76,1.92,0.348
164,S3,37.7,14.07,5,3,12,0.65,0.76,1.92,0.144
165,S3,37.7,14.07,2,2,12,0.65,0.76,1.92,0.045
166,S3,37.7,14.07,12,8,14.5,0.65,0.86,1.92,9.562
167,S3,37.7,14.07,10,6,14.5,0.65,0.86,1.92,8.595
168,S3,37.7,14.07,7,5,14.5,0.65,0.86,1.92,0.971
169,S3,37.7,14.07,5,3,14.5,0.65,0.86,1.92,0.14
170,S3,37.7,14.07,2,2,14.5,0.65,0.86,1.92,0.054
171,S3,37.7,14.07,4,16,12,0.65,0.24,2.31,2.687
172,S3,37.7,14.07,3,13,12,0.65,0.24,2.31,0.65
173,S3,37.7,14.07,2,10,12,0.65,0.24,2.31,0.199
174,S3,37.7,14.07,2,6,12,0.65,0.24,2.31,0.109
175,S3,37.7,14.07,1,3,12,0.65,0.24,2.31,0.037
176,S3,37.7,14.07,4,16,14.5,0.65,0.27,2.31,3.127
177,S3,37.7,14.07,3,13,14.5,0.65,0.27,2.31,0.615
178,S3,37.7,14.07,2,10,14.5,0.65,0.27,2.31,0.134
179,S3,37.7,14.07,2,6,14.5,0.65,0.27,2.31,0.142
180,S3,37.7,14.07,1,3,14.5,0.65,0.27,2.31,0
181,S3,37.7,14.07,16,4,12,0.65,1.04,1.7,10.53
182,S3,37.7,14.07,13,3,12,0.65,1.04,1.7,7.492
183,S3,37.7,14.07,10,2,12,0.65,1.04,1.7,0.656
184,S3,37.7,14.07,6,2,12,0.65,1.04,1.7,0.24
185,S3,37.7,14.07,3,1,12,0.65,1.04,1.7,0
186,S3,37.7,14.07,16,4,14.5,0.65,1.18,1.7,10.56
187,S3,37.7,14.07,13,3,14.5,0.65,1.18,1.7,9.61
188,S3,37.7,14.07,10,2,14.5,0.65,1.18,1.7,1.323
189,S3,37.7,14.07,6,2,14.5,0.65,1.18,1.7,0.176
190,S3,37.7,14.07,3,1,14.5,0.65,1.18,1.7,0.04
191,S1,116,88.46,25,0,12,0.45,0.93,1.49,5.012
192,S1,116,88.46,30,0,12,0.45,0.93,1.49,6.644
193,S1,116,88.46,35,0,12,0.45,0.93,1.49,7.278
194,S1,116,88.46,40,0,12,0.45,0.93,1.49,8.696
195,S1,116,88.46,50,0,12,0.45,0.93,1.49,10.35
196,S1,116,88.46,25,0,12,0.65,1.34,1.49,5.423
197,S1,116,88.46,30,0,12,0.65,1.34,1.49,6.251
198,S1,116,88.46,35,0,12,0.65,1.34,1.49,8.13
199,S1,116,88.46,40,0,12,0.65,1.34,1.49,9.384
200,S1,116,88.46,50,0,12,0.65,1.34,1.49,11.18
201,S1,116,88.46,25,0,14.5,0.45,1.05,1.49,3.484
202,S1,116,88.46,30,0,14.5,0.45,1.05,1.49,4.605
